KEYWORD ,SIMILARITY % ,MONTHLY SEARCHES ,COMPETITION ,CPC
weather,0%,0,0,0
weather,0%,0,0,0
weather london,0%,0,0,0
weather new york,0%,1900,0.077510512618637,370657
weatherpro,0%,6600,0.02421151920102,53303
weather forecast,0%,0,0,0
weather underground,0%,0,0,0
weatherford,0%,0,0,0
weather sydney,0%,0,0,0
weather new zealand,0%,210,0.09558998255435,426674
weather uk,0%,0,0,0
weather+,0%,0,0,0
weather+,0%,0,0,0
weather+ apk,0%,0,0,0
weather+ android,0%,0,0,0
weather london,0%,0,0,0
weather channel,0%,0,0,0
weather forecast,0%,0,0,0
weather underground,0%,0,0,0
weather new york,0%,1900,0.077510512618637,370657
weather uk,0%,0,0,0
weather boston,0%,0,0,0
weather+a,0%,0,0,0
weather+atlanta,0%,0,0,0
weather+auckland,0%,0,0,0
weather+athens,0%,0,0,0
weather+austin,0%,0,0,0
weather+adelaide,0%,0,0,0
accuweather,0%,0,0,0
weather at new york,0%,0,0,0
weather at london,0%,0,0,0
weather at sydney,0%,0,0,0
weather at boston,0%,0,0,0
weather+b,0%,0,0,0
weather+boston,0%,0,0,0
weather+bbc,0%,0,0,0
weather+baltimore,0%,0,0,0
weather+bristol,0%,0,0,0
weather+boston ma,0%,0,0,0
weather+brisbane,0%,0,0,0
weather+benidorm,0%,0,0,0
weather+barcelona,0%,1600,0.011233832110874,1439000
weather+basingstoke,0%,0,0,0
weather+birmingham al,0%,0,0,0
weather+c,0%,0,0,0
weather+chicago,0%,0,0,0
weather+channel,0%,0,0,0
weather+cape town,0%,0,0,0
weather+canada,0%,0,0,0
weather+calgary,0%,0,0,0
weather+cincinnati,0%,0,0,0
weather+canberra,0%,0,0,0
weather+cozumel,0%,0,0,0
weather+charlotte nc,0%,0,0,0
weather+chch,0%,0,0,0
weather+d,0%,0,0,0
weather+dc,0%,0,0,0
weather+denver,0%,0,0,0
weather+dallas,0%,0,0,0
weather+denver co,0%,0,0,0
weather+dubai,0%,480,0.03012150413721,0
weather+detroit,0%,0,0,0
weather+dallas tx,0%,0,0,0
weather+delhi,0%,0,0,0
weather dublin,0%,0,0,0
weather de,0%,880,0.060406297073288,132849
weather+e,0%,0,0,0
weather+esfahan,0%,10,0,0
weather+edinburgh,0%,0,0,0
weather+edmonton,0%,0,0,0
weather environment canada,0%,0,0,0
weather en new york,0%,0,0,0
weather en paris,0%,0,0,0
weather elders,0%,0,0,0
weather en san francisco,0%,0,0,0
weather en las vegas,0%,0,0,0
weather en boston,0%,0,0,0
weather+f,0%,0,0,0
weather+forecast,0%,0,0,0
weather+faro,0%,0,0,0
weather+florida,0%,210,0.084863211500478,881689
weather+fort worth,0%,0,0,0
weather+france,0%,0,0,0
weather+forecast+agartala+tripura,0%,0,0,0
weather+forecast+soller+10+day,0%,0,0,0
weather forecast uk,0%,0,0,0
weather for london,0%,0,0,0
weather for new york,0%,0,0,0
weather+g,0%,0,0,0
weather+greensboro nc,0%,0,0,0
weather+google,0%,0,0,0
weather+gainesville fl,0%,0,0,0
weather+gorgan,0%,0,0,0
weather+geneva,0%,260,0.0096718015946098,27379
weather germany,0%,1600,0.085763391880912,16960
weather glasgow,0%,0,0,0
weather greece,0%,140,0.060179199738156,1116
weather grand canyon,0%,40,0.022094548410338,0
weather gran canaria,0%,0,0,0
weather+h,0%,0,0,0
weather+houston,0%,0,0,0
weather+hamilton,0%,0,0,0
weather+houston tx,0%,0,0,0
weather+halesowen,0%,0,0,0
weather+huntingdon,0%,0,0,0
weather+hd,0%,110,0.036627783623531,0
weather hong kong,0%,0,0,0
weather helsinki,0%,390,0.00080453120260323,0
weather hanoi,0%,90,0.0084335263711112,0
weather honolulu,0%,0,0,0
weather+i,0%,0,0,0
weather+istanbul,0%,590,0.030788838509065,48940
weather+ipswich,0%,0,0,0
weather+iran,0%,0,0,0
weather+indianapolis,0%,0,0,0
weather+in+st+raphael+10+day+forecast,0%,0,0,0
weather+in+cyprus+september+paphos,0%,0,0,0
weather+in+limousin+10+day+forecast,0%,0,0,0
weather+iran+mashhad+yahoo,0%,0,0,0
weather in london,0%,0,0,0
weather in new york,0%,0,0,0
weather+j,0%,0,0,0
weather+johannesburg,0%,0,0,0
weather+jerusalem,0%,0,0,0
weather japan,0%,90,0.065815104942089,28075
weather jasper,0%,20,0,0
weather jakarta,0%,40,0.002815734989648,0
weather jersey,0%,0,0,0
weather jacksonville fl,0%,0,0,0
weather jamaica,0%,0,0,0
weather jeddah,0%,0,0,0
weather jordan,0%,0,0,0
weather+k,0%,0,0,0
weather+kids,0%,0,0,0
weather koh samui,0%,90,0.031315754952119,0
weather key west,0%,50,0.029885057471264,116682
weather kansas city,0%,0,0,0
weather kauai,0%,10,0.071008593396653,0
weather kelowna,0%,0,0,0
weather karachi,0%,0,0,0
weather kingston,0%,0,0,0
weather kdka,0%,0,0,0
weather kare 11,0%,0,0,0
weather+l,0%,0,0,0
weather+london,0%,0,0,0
weather+las vegas,0%,0,0,0
weather+los angeles,0%,0,0,0
weather+lanzarote,0%,0,0,0
